zhdh,khrq,khjgdh,xb,年龄
B2FE97E7195BDC57,2019-04-22,B337E84D,1,44
CAF23B7ACD1311D7,2013-03-04,B5B41FAC,1,41
13902740B32B7524,2012-05-01,69ADC1E1,0,52
279C64D6372F14BA,2014-06-28,0D3180D6,0,74
FF89BD531C1FB7F9,2017-09-27,EC895663,1,53
F4EE418F776B6AB4,2015-08-29,8757150D,1,40
5B6619DA3BD47014,2017-03-17,9DFCD5E5,0,37
5F4A084EAEA7F74D,2020-02-17,D5CFEAD9,0,33
C62D5984CAC23D8B,2019-03-03,1EFA39BC,0,27
8CD0C501E28770A7,2012-11-13,02A32AD2,0,59
7EBCEA0CB0C3529A,2017-03-19,58D4D1E7,0,37
D5A0F139DCEA4531,2017-09-17,48AB2F9B,0,29
EB4D0135156BD2AB,2018-02-09,1ECFB463,1,32
492FD0C60579155D,2016-10-25,AE0EB3EE,0,28
4625FB3E5E19E863,2014-02-24,32B30A25,0,44
136EB932E3284D25,2012-10-15,69ADC1E1,0,34
190460793A343C58,2015-11-22,B1D10E7B,1,32
ADECBAA0C9F94821,2014-01-07,500E75A0,1,24
7462991B41CCEDAC,2015-09-03,EC895663,0,29
395D4FC0EECA7A3A,2015-02-11,816B112C,1,52
381630441DB10E55,2014-02-16,5B69B9CB,1,32
05909D7A9D7C7F27,2010-12-06,67E103B0,0,35
0D8F1D7877D85294,2008-10-14,757B505C,0,36
FF78D7BCFAF864FD,2019-12-08,7EF605FC,1,33
4D57ADB30AB70CF2,2016-08-31,B1EEC33C,0,35
89AFC37A3BE431DC,2019-11-26,37BC2F75,1,49
6B0A04249F4EC2DA,2016-08-21,17C276C8,0,26
9D5E0D5E0DDAE78A,2017-03-03,E6CB2A3C,0,29
1227FC3347927AA4,2009-01-25,EC895663,0,65
223E1D26297F2C1B,2016-01-02,DC82D632,0,34
8C2ACDA6BDF56D1A,2018-06-07,757B505C,1,23
E26FBB2AB3CABEC0,2020-02-09,A3C65C29,1,30
E46463F11E128AD5,2015-09-02,069059B7,0,26
C50708F2B9AEA607,2011-11-10,2B44928A,1,48
1A34CE477F11D658,2019-04-13,BEA5955B,1,36
E20CFEA232F9EE82,2013-09-22,C45147DE,0,55
B8E83EB78AE995C7,2018-10-12,496E05E1,0,24
DACCA84F258DFA4F,2015-10-03,5B69B9CB,0,30
E3CF523911892409,2016-01-10,577BCC91,0,50
3B57B215806BC413,2009-01-24,757B505C,1,52
9B334CD3C90504FA,2013-05-19,76DC611D,1,28
B87FEE45EBB4D105,2010-10-29,D7A728A6,0,58
342D4BD6814AF270,2013-02-23,B6EDC1CD,1,58
7AFAB26B28010DC9,2016-01-27,2B44928A,0,37
F2C2F4F942A91FEF,2010-12-27,34ED066D,0,57
7A40B03CFE6B0497,2017-10-02,B0B183C2,0,42
D067D99983D97247,2019-02-12,AA169B49,0,27
131019C2B85E868E,2017-01-31,DD458505,0,55
4A5107A6379350C3,2019-08-25,07E1CD7D,1,41
7DCFDD8D085E4466,2016-06-06,EB160DE1,0,22
5F23B79C3B806173,2015-11-30,170C9449,1,32
227A4E489F8438A0,2018-08-23,B4A52895,1,35
80D378167DC5BC04,2015-02-10,C3C59E5F,1,32
6CCDEBDDC300AA85,2019-02-28,5B69B9CB,1,38
476C06AFF363D5DF,2019-02-21,B2F627FF,1,33
3980C536E6B2A766,2013-02-11,8A0E1141,1,53
6139117FC5CCC9ED,2007-10-27,A8ECBABA,1,53
437A34A534A4F61B,2018-03-21,96B9BFF0,1,70
5ECB9F2963CF8416,2018-04-18,C9E1074F,0,28
8DE0D010637C968D,2020-03-28,8B6DD7DB,0,26
7B0D2645984373F4,2015-05-29,757B505C,0,30
65294FDF87FF74DF,2012-03-05,EAE27D77,1,42
4B5EE88A9E371F05,2005-12-02,26408FFA,1,40
4DEED9CF759ADCB1,2019-10-17,AFD48367,0,24
9B3AF3A3F9034179,2018-03-17,757B505C,1,27
ECCFB70536C7FD62,2019-12-04,4C56FF4C,0,19
7398E7BFD3FC1AAE,2014-11-10,698D51A1,0,30
347078222BEF6080,2013-11-18,50C3D761,0,26
A1A5BE05E8B5513E,2019-06-29,577BCC91,0,42
EFE2C38A31CCA7FA,2019-07-22,A9A6653E,1,31
15599640EB4EDD42,2019-05-25,CA46C1B9,1,56
51EA6C65B5F96A07,2017-08-20,8E98D81F,1,46
9D3EE1035796C676,2019-09-04,9CF81D80,0,66
7C59A68F52547A98,2012-06-16,69ADC1E1,0,33
6DF178F19FE1C387,2020-01-18,43FA7F58,0,45
14A519E500EA6A70,2020-03-24,CEE63112,0,36
8A06E8623BC63145,2015-04-19,45FBC6D3,0,29
761921B091F1466F,2014-10-22,8F468C87,0,24
439F6EFA45A35BE0,2013-03-19,F0935E4C,1,37
51F6106DCC155749,2018-01-21,99BCFCD7,1,37
802E80B98392C406,2019-07-21,69ADC1E1,1,51
EF71BC02ECB39D17,2012-11-02,291597A1,1,43
70EE0C415C32E35E,2019-01-16,34ED066D,1,26
EB38099E97C4DE63,2017-02-13,B2F627FF,0,37
A7D8C02FBF14F311,2015-12-19,D86EA612,1,33
BF8E07AF6072AB82,2016-07-08,EC895663,0,33
A5F5BF851FA72D3E,2017-04-29,B2F627FF,0,23
95825F84163E6D59,2011-11-14,757B505C,0,34
DE820092C4831373,2016-01-18,757B505C,0,51
89E113C378EF13C7,2016-02-18,24B16FED,0,36
D42340ED3D72D6E3,2008-07-08,B4A52895,1,23
FE73478273311DF7,2016-07-12,4558DBB6,0,27
660E5293E058834C,2014-12-31,757B505C,0,48
17BB1CFED4A43FE4,2017-09-18,757B505C,0,22
5BE1F4F854868DD5,2014-05-24,E2C0BE24,1,60
C9398D276EB8E4A2,2015-02-07,2BCAB9D9,0,25
716EAB3291D332F6,2015-02-11,C361BC7B,0,43
1BEF40A083FCD17A,2020-02-16,E97EE205,0,23
3CBF609F69CCC767,2018-06-03,577BCC91,0,34
B7E45474B8000748,2019-12-29,CA8155F4,1,46
5D0EABFC6C336DE0,2015-10-15,5DD9DB5E,1,38
AED179D216C3F4EA,2016-08-05,B6EDC1CD,0,34
E31F5999A0552656,2020-01-24,EB163727,0,24
569CF7D68DBD49DF,2014-02-21,1141938B,1,42
82ABD771027A2AD2,2019-12-24,6974CE5A,0,39
86C0024DAA319F28,2013-11-01,EB160DE1,1,30
FDDEECF6C95E26FD,2018-02-14,854D6FAE,0,27
AAC573EF6630B96D,2016-10-22,9CFDF10E,0,45
02B0651BC121EF55,2009-01-12,670E8A43,0,68
D723FDC0621FB090,2014-12-16,13F320E7,1,55
CC67CE551C195A4E,2018-01-09,5F93F983,1,33
20ADFF18A2F73EB2,2017-08-14,7EF605FC,0,27
4EAEB75D1C329D6D,2012-03-22,E2C0BE24,0,37
DD85B069FBFA2135,2011-03-18,D6C651DD,0,31
4A54E238B317FD60,2015-12-29,85422AFB,0,23
80982DEE4EEF51C5,2014-01-19,E2230B85,0,53
1D862C810DDB371D,2018-12-08,C361BC7B,0,21
86CE6A7FACACFBA7,2019-01-05,2B44928A,0,20
303D7F617B859EF8,2019-06-08,FC221309,0,34
2F5A4140BF680B21,2018-12-26,757B505C,0,56
3F5D9B1CEB10DFEF,2014-10-15,2B44928A,0,65
AB235774CECD0EE1,2020-05-04,D86EA612,1,40
DE95B247C64F0313,2020-02-19,73278A4A,1,37
5B02FFD7508BB721,2015-09-04,5F93F983,0,35
2E58EF5C9B300BF5,2018-12-10,9CF81D80,0,23
B3288FEDAD155676,2009-03-17,7F100B7B,1,50
BA92E631DFE521C1,2010-09-03,99C5E07B,1,35
94956E9F54B1CA24,2017-02-17,88AE6372,0,24
BC75BBF32AA0B1AA,2014-04-27,B7892FB3,0,28
5273170FCD2E9865,2020-05-02,B4A52895,1,36
B3DA843A8FEB199A,2009-01-28,5B69B9CB,1,35
06A96DD63D301E58,2017-12-09,69ADC1E1,0,32
20CC5CE8047D4424,2017-05-22,C9E1074F,1,36
CFAA15B1410E4D44,2009-12-06,F64EAC11,0,48
48BBBB1F68432AE9,2011-12-11,C361BC7B,1,43
48C064A6A3EAC552,2017-07-14,EC895663,0,36
3081DB5D7928659B,2018-12-07,274AD478,0,30
2A61369653920C3E,2015-05-20,E2C0BE24,0,28
A54D4A4788BEF6CC,2013-02-13,B73DFE25,0,39
AC3E203DEC2A21BB,2011-08-27,577BCC91,1,40
EAA6EBFEE17A41E8,2013-01-10,B5B41FAC,1,46
57E0C2424DDB5D91,2019-06-10,AFF16212,1,26
1C5FB7B44DCB65C1,2018-04-13,F9A40A47,1,42
545DEF06C0309658,2011-03-17,757B505C,1,33
622EF0680B1E2515,2016-04-30,69ADC1E1,0,26
D42D2B42185279DB,2019-06-28,5F93F983,1,40
2D82FD3011D039BB,2018-09-26,854D6FAE,0,46
2157C91EEAB412A1,2017-01-10,65B9EEA6,1,27
C8B60CB8018F7561,2017-02-13,99BCFCD7,1,24
1D0F34FE14DB7D16,2019-07-31,9AB0D884,0,23
6D0128E0185136DC,2016-05-31,A9A6653E,0,25
84F5720032E36157,2012-04-06,B4A52895,1,50
1B855FB6F13B6915,2017-09-19,854D6FAE,0,32
599A4EDD458809E5,2019-12-19,44C4C173,0,31
26FF5719F08454FC,2016-10-21,698D51A1,1,39
FAAA148E5500BC0C,2016-05-20,5F93F983,1,28
2856DD3675E303D1,2019-11-30,816B112C,1,51
AE2F61A501CB80B5,2012-04-22,A3D68B46,0,37
7DE4BB006CE4B2B2,2014-12-13,6F3EF77A,1,57
E8DBB76B9A587256,2017-09-03,091D584F,0,39
4B7B91E31D816780,2017-06-26,3644A684,1,41
F874B915BAEE8D45,2019-04-13,99BCFCD7,1,31
9E7CAA2107313674,2015-01-16,2723D092,0,29
6DD0C26E6BB00A73,2014-03-11,AFF16212,1,48
5AD905CBFCA509F3,2020-02-05,F4BE0027,1,33
54F9BC1E3364D1A0,2018-09-17,B2F627FF,0,43
6A3D99E2AB08546E,2018-02-14,6E2713A6,0,35
ACCB9A91D54C20C3,2018-01-22,AA169B49,0,22
0775D3950E0F4C2D,2016-04-24,C9E1074F,0,33
B2E3807A87E55774,2017-03-15,5DD9DB5E,0,33
1883186CE085408F,2020-02-08,3DC4876F,0,32
80E29C22DD15EA77,2020-03-11,854D6FAE,0,36
87DE50D388D1316B,2018-06-24,C361BC7B,0,32
CD0E86862BC38046,2015-04-21,07E1CD7D,0,47
944EC76F32537D48,2015-02-10,1BB91F73,1,40
2004E9A648DF708A,2010-05-07,C9E1074F,1,33
ABDEB962A6F1D158,2016-10-04,A0A080F4,0,36
4AFE26988ADC5AB5,2016-04-12,EB6FDC36,1,60
26015918663381B1,2014-06-29,B1D10E7B,1,29
BFB8FB848D7BB202,2017-04-23,B2F627FF,1,48
AF0F931A59B2A3B3,2015-07-22,E2C0BE24,0,27
BF6D62F8A12FCFA7,2012-09-21,C361BC7B,1,53
02BD2302F77BC8FC,2010-02-22,6C9882BB,1,48
4D8F8F17CAC51EBC,2019-11-14,274AD478,1,33
AE28827D68A89ECD,2012-04-20,698D51A1,0,33
E59D5C4980A55C27,2019-12-23,FE8C15FE,0,28
597EC00698494FD1,2010-12-30,AE0EB3EE,0,33
06642D262257B9E7,2013-12-18,34ED066D,1,30
25372969A97376D1,2017-05-26,E7F8A7FB,1,49
4F0D52B1595D940C,2013-12-21,996A7FA0,1,25
7ADF4A98F9D8BF1C,2012-11-13,2B8A6159,1,50
D8B09F4D4FB53C55,2013-04-23,64223CCF,1,33
625289D77BE00894,2017-02-21,4C56FF4C,0,59
F96F4D622199D438,2009-07-08,E2C0BE24,0,52
A5EECE3A7859F587,2018-10-24,091D584F,0,18
9D36480468D432BD,2011-07-17,621461AF,0,56
0C26B80BA8AE8E6D,2011-05-18,01F78BE6,1,26
C0DC85B895477660,2019-10-06,BEA5955B,0,54
6858EB38690F3F3E,2018-05-21,E97EE205,0,47
716CB1DE33A6711A,2019-09-11,006F52E9,0,32
7780538EA4C7ED6A,2019-07-03,55743CC0,0,24
4C1683EFEFC78CD8,2017-05-20,CDC0D6E6,1,28
2B0110D925099102,2017-10-03,8EBDA540,0,20
EA7E950FC184D2B3,2014-12-14,BEA5955B,0,37
ADEA4034BC360596,2017-02-21,C361BC7B,0,29
F6624FF42EACA7DB,2016-02-10,621461AF,1,33
5A02FAA7596D503B,2013-12-21,192FC044,0,38
5599DE094E3FC894,2016-11-21,DC568979,0,47
A7372760781C10CB,2017-01-26,298F95E1,1,48
6718B4D73343DE0B,2018-12-23,EB6FDC36,0,24
CA265CF318850769,2019-09-06,C06D06DA,0,34
0085311F2829461F,2009-01-07,1CC3633C,0,31
49C9E4C62C3DD7DC,2017-03-28,2723D092,1,25
B6FFC060BC51C755,2019-01-11,1FF8A7B5,0,32
004FF0788849679D,2014-08-07,88AE6372,0,35
01FC6621925CE7BA,2016-12-13,34ED066D,1,27
186568BDC3D387A6,2018-01-09,D7A728A6,0,29
C51E200EC7278C0B,2015-08-11,4C56FF4C,1,41
6EF53CC68A8F4D82,2018-11-26,854D6FAE,0,46
264E70F7479D5E0B,2014-03-21,A733FA9B,0,41
07B9BD4D4601EEE4,2018-06-22,B4A52895,0,51
27107A1876C9080D,2014-04-18,76DC611D,0,27
4A52567D319D7259,2014-01-20,EAE27D77,0,28
2D568CDF8BDEC669,2019-12-07,68264BDB,0,32
2B7920271E7C6C61,2019-05-13,B6A1085A,1,50
97C70BD1CDBE0E95,2018-01-03,D5CFEAD9,0,38
96CDFA0D3399B2DC,2014-06-09,8E82AB72,0,45
A005AB5A06F882EE,2009-03-10,EB163727,0,51
6F9F4A4481BDC401,2016-10-24,DC568979,0,47
3019AD741AEF2980,2012-08-28,EF4E3B77,0,52
5ADCFCF75436B82C,2015-01-26,757B505C,0,27
4C69947D6ECB035B,2009-04-20,0D3180D6,1,45
96858CFD5EECF9CC,2016-12-14,1AFA34A7,1,52
A32833DB7CEC515E,2014-06-06,8C961171,1,34
02DCF568DBD339CF,2017-09-26,E2C0BE24,1,26
7021DB097BEA4CA4,2020-03-06,B6A1085A,0,52
6A29BFB56DA6F473,2020-03-20,B1D10E7B,0,34
8B1E6EC558AA91C9,2020-05-07,3B5DCA50,0,35
74EC0C343D81AC46,2019-11-22,B2F627FF,1,23
416575344A615FF0,2005-03-06,E7F8A7FB,1,49
22A53C87851692C2,2017-06-23,B5B41FAC,0,23
98652B02A6EAAC5A,2016-07-27,DF877F38,0,36
D456E5D682A0E23C,2010-05-12,091D584F,1,54
E3837FE909764F55,2019-11-09,E6CB2A3C,0,18
69F592CA2A9E3F2A,2018-05-22,8D6DC35E,0,37
470E60139ACA9736,2015-02-26,109A0CA3,1,49
598B8783A5AF1EE6,2008-12-23,B1D10E7B,0,39
0E164358A5C54180,2018-05-26,9CF81D80,0,35
DB03BDA12763AA1C,2017-02-07,B1A59B31,0,29
EA569FE5459E6603,2010-11-13,816B112C,1,35
6DFBEF08D7251C8C,2014-09-22,B2F627FF,0,50
2CB5C631D0BE5241,2016-03-21,AFDA3322,0,46
C972DE0ACD1058D6,2013-03-28,CF67355A,0,34
3332624C240134B9,2016-10-03,757B505C,0,28
5E1F85F81F2973CB,2015-12-28,A3C65C29,0,28
20764FD02AD20E38,2019-02-20,37BC2F75,0,58
F25CCE513AA1C953,2019-02-28,091D584F,0,48
3E3C6CA6E683FDC1,2020-04-29,34ED066D,0,33
C651A39C005918AA,2014-01-05,B5B41FAC,0,29
9901AB06757CF634,2012-03-18,7EABE3A1,1,49
55CD88B9273D8280,2018-10-14,EC895663,0,41
DA86EB9526E62138,2010-05-21,892C91E0,1,37
C7A0A0E257524AD6,2018-06-18,7EABE3A1,1,34
903268F42B30E571,2020-01-18,006F52E9,1,27
115BF68F830F5136,2014-08-28,5B69B9CB,0,58
9777CDC6A80610CE,2014-08-08,9CF81D80,1,23
2320362371EC6F17,2019-11-24,006F52E9,0,23
318EE301BE835E1A,2017-05-04,A7608800,0,31
87CEC2A7EBF291CB,2019-01-21,2A79EA27,0,21
188A4970C19F9DD3,2011-08-27,7750CA35,1,33
20ADECF1197F8AE6,2015-02-27,38B3EFF8,0,28
3E92FEC22899BBA8,2015-06-04,02A32AD2,0,33
46BABCC4CF811A1E,2012-05-11,5F2C22CB,1,33
3EFC76AA04C67011,2012-01-03,B7892FB3,0,40
52CF67DFC2049C89,2014-03-18,091D584F,1,38
ACD10DF9CAE4ED49,2012-12-28,B4A52895,0,31
D8B0F7C0CEFAFC6E,2018-06-07,B6A1085A,0,38
19D831ED93A90371,2013-01-21,D6C651DD,0,33
EB142716030B4BF6,2005-09-10,CA46C1B9,0,35
D10BA0218ACD39F3,2013-01-31,E4BB4C51,0,31
63DDD5A1FD38DE66,2010-09-04,7A53928F,0,32
D376C1098E93F5D3,2017-05-28,34ED066D,1,43
34BC4475CDB5EC07,2019-09-17,9CF81D80,0,27
4B471C9EE1E4A82A,2010-03-29,757B505C,1,44
FF98C63DC30F6E16,2017-04-15,07E1CD7D,1,37
3D54E899417ACDB8,2015-07-31,2723D092,1,38
CCBBBDE53E2A5913,2018-04-01,C3992E9A,0,20
A8EFD2D1D2BD53AD,2012-05-08,2BCAB9D9,0,33
332EA39EE84EEB74,2016-03-11,A7608800,0,34
D8A1D03E44EEB8D5,2012-03-22,AFDA3322,0,41
2114F2880AE70229,2011-07-31,B4A52895,1,33
774EE9EB58A5AE8C,2013-07-12,B4A52895,0,39
5B593A92938DABC0,2008-01-07,285E19F2,0,32
D6C9F6A6F5D0B221,2016-05-08,69ADC1E1,0,22
6EAD070275B32A03,2019-06-16,00AC8ED3,0,58
BCB5D73C314C770D,2015-06-25,5EC91AAC,1,56
013DB71088637BC7,2011-04-14,EC895663,0,32
8C6AF6E5452F86B9,2018-02-25,DB85E259,1,28
3DF44E76DCEECBF1,2014-01-06,E2C0BE24,0,44
3EF20F912037F0CA,1998-06-28,5B69B9CB,1,51
69EE8230D4D15F4F,2018-02-28,1AA48FC4,0,33
57267CC44D86A2CA,2014-09-07,08740852,0,42
B4ACED6E5845CAC0,2017-09-05,B2F627FF,0,37
56A0BFCAF3022A70,2020-02-25,74BBA227,0,24
EF8ED2372427C03D,2018-03-22,B6EDC1CD,0,55
AD90335944D50F3E,2018-01-20,E2C0BE24,0,46
6DB0C799A69E03CC,2019-09-07,1AA48FC4,0,31
C51F9C86C5CDF236,2014-07-27,4C56FF4C,0,51
028A3692EEEF862E,2016-04-27,63538FE6,1,35
0C919B193F73EB1E,2018-07-12,CA46C1B9,1,59
876000D6AFA44FAA,2020-03-02,74BBA227,1,20
2E3856779E505FF9,2018-10-14,5FD0B37C,0,34
DEC063E290717D72,2020-04-14,892C91E0,0,33
F82BF023F3FE96C7,2020-03-29,81E74D67,0,36
7106508F9C9F5CBF,2014-09-16,788D9869,0,29
9C68B635D40D0F93,2019-09-22,A97DA629,0,31
EC2A5E6B85EAEFE8,2013-12-30,B2F627FF,1,44
39AC93A5174D1B3C,2019-09-26,D7A728A6,0,32
02DB9ACE82EDD357,2018-09-16,E4BB4C51,0,55
992D6F39B0881D59,2019-09-27,C3C59E5F,0,27
89B4300FCF27BF42,2018-02-03,854D6FAE,0,49
B019C644F3541EDC,2016-12-06,757B505C,0,26
107B650FDB0960CB,2012-01-15,670E8A43,0,54
D18A63ED9D7D96A5,2010-10-08,08740852,1,39
30D13225FE06CE23,2017-08-29,4A47D298,0,40
4C7F28C9815D1DE1,2018-09-28,9CF81D80,0,45
782D98269E6640EA,2018-11-03,C5AB0BC6,1,58
C7176B55336CB280,2014-01-26,D86EA612,0,32
FF2A65F9863B60E0,2019-08-08,64223CCF,0,35
639F8ECDFDB16910,2008-06-08,5EC91AAC,1,40
A3B1ABF0929FC90A,2019-04-02,B55EC28C,0,51
225A84D1901012B7,2017-02-26,AA169B49,0,33
919546D9115535E3,2019-03-16,2723D092,1,37
0D81BAA1AEC5651F,2018-10-05,EAE27D77,0,30
07B91E3C6CC70C61,2018-01-13,5C049256,0,41
A50E00841E5F23AC,2016-04-23,979D472A,1,33
3D0A6F567D2BD187,2017-07-28,C3C59E5F,0,50
761E6784FD3D36E4,2018-07-22,1ECFB463,1,44
ADA12E75D566CEEC,2011-10-31,A3D68B46,0,39
A23BE9E49597BD61,2015-06-26,B2F627FF,1,29
50CDF598C9135E1B,2017-05-23,B2F627FF,0,30
3DBD82E0A93475E9,2013-10-22,85FC37B1,1,53
574B13C5D7B849D1,2015-09-08,19BC9161,1,28
25DDFAD7A0779133,2016-04-02,854D6FAE,1,32
BA94D8252C227CCD,2012-12-27,A8ECBABA,1,36
8F210A350094C30A,2017-07-15,DC82D632,0,27
DFAB59A556EA8D17,2016-05-13,3DC4876F,0,28
6350970FA4A764F6,2018-06-10,4A47D298,0,32
D468E2C9D23CAD16,2015-03-24,C5AB0BC6,0,29
A40B2A248E64D549,2011-03-19,06138BC5,1,32
06F0E980C9E31C83,2016-06-13,1AA48FC4,0,21
36FBB513694F2D3F,2019-09-21,757B505C,0,28
A5D48589B2E63D59,2020-03-22,B73DFE25,0,35
7D70B77AA3F57F69,2016-12-15,6E2713A6,0,27
A373C17651DD6409,2013-07-06,6E2713A6,0,44
E0DE80CE53CD84CB,2018-12-29,854D6FAE,1,46
3F2A8AADA2787650,2019-08-12,85FC37B1,0,35
25C69DF6BFED5A62,2019-01-20,A97DA629,0,36
306914F465301DA6,2018-07-16,C3992E9A,1,47
7991091288CF66FE,2016-07-26,069059B7,0,31
F88BCF079FF55773,2016-12-26,DACA4121,0,26
F15DFAB2901FEF14,2011-04-16,2723D092,0,44
8552C0645E7E1B3B,2007-07-20,A97DA629,0,60
0FE77888F2F103DE,2019-12-21,10A7CDD9,0,32
047617AFAEE9E7DA,2017-05-21,8CB22BDD,1,37
EE6ABF8AA7BE8A00,2010-02-23,B2F627FF,0,37
8AB620C91C398ECE,2018-06-22,EB163727,0,42
60C66D78C03FA4E3,2020-01-25,32B30A25,0,39
E5AAD686A4C5AF85,2017-10-10,D86EA612,0,26
1AE3176A9669CC22,2015-12-20,E2230B85,1,31
7E04250DB7D63754,2020-02-16,006F52E9,1,40
F4A31BFE25F2FCD7,2018-02-21,E2C0BE24,0,50
997DED969A377D40,2015-02-14,F3F27A32,0,31
C30AE87288D79225,2013-01-23,7EABE3A1,0,33
38EF88D6E5EC621E,2017-02-07,1AA48FC4,0,31
D3DD5EA29BF14A8D,2017-01-02,EB163727,1,26
22DE0B437D8328D7,2014-03-11,D86EA612,0,34
83C84E49FDAC7F4E,2018-03-03,851DDF50,0,26
28AF71901C6FE97F,2013-10-25,F76A89F0,0,36
C25D489463A50E49,2014-04-22,5C049256,0,31
101F344833993CFB,2019-11-19,0EFE3284,0,30
0F38615E7CC29523,2012-02-12,A3C65C29,1,37
1435EE4AB5FDA969,2018-06-04,D86EA612,1,44
205968D02059DD44,2016-03-01,08740852,0,33
4ECA1184AF8EE412,2006-12-27,B5B41FAC,1,65
137273EDB81EDAC5,2007-06-08,5B69B9CB,0,65
784CD05710B9421E,2012-06-09,5DD9DB5E,1,43
12E4349FB597AE2A,2011-09-18,5B69B9CB,1,34
46905EC880A6FD9E,2015-05-03,1905AEDA,1,30
A883066E63BDD65E,2016-06-28,E2C0BE24,0,33
243D80D707614F1B,2014-11-03,F4BE0027,0,38
6F8FC4BFAF20AE88,2019-04-06,07871915,0,42
EE6989200D059C2F,2011-07-16,E7F8A7FB,1,70
C3AC2DA1B5233DA7,2017-03-22,06409663,0,21
DFB16997FB450844,2012-01-14,B4A52895,1,35
48E7E1F4D7AF48E7,2017-01-29,1534B76D,0,21
317428D61416F735,2017-08-13,99BCFCD7,0,21
74154EEF35FBAF9C,2005-08-01,854D6FAE,1,45
F143210A11A35439,2013-11-26,65B9EEA6,0,35
639574DE36C3C1DE,2016-01-26,DC568979,0,49
6A38DD34DA529A6E,2018-02-14,577BCC91,0,35
48822BDBB1AB516C,2015-03-02,34ED066D,1,33
52831E602F74C8D6,2014-06-28,F76A89F0,0,23
229965DDDAA3E4E4,2016-05-13,5EF05993,0,23
A8DB4E40BFEA4FF5,2014-03-15,73278A4A,1,35
82BC4B8FB174952A,2016-04-30,ACF4B89D,0,40
D7A2139CEF160624,2019-09-09,DACA4121,0,21
4AB28FC54AF2611A,2016-06-05,291597A1,0,28
D06D55B97F1A8278,2011-07-17,816B112C,1,59
